MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,Kişi,Ses Türü
-500.23743,90.70863,20.40909,16.702261,0.6011086,3.383771,4.3165665,10.331698,-18.48925,-5.3555856,-4.2212176,-10.153004,-19.85076,2.195296,-20.345745,-6.109735,-4.6662827,-2.2325776,-7.6737866,-4.9267387,-6.831444,-1.17951,-8.853619,4.2599835,-2.1976683,2.6712635,2.1302485,4.067566,7.7189617,3.568749,5.921702,4.4039,3.7462406,-0.824394,-0.1893072,-0.35539892,2.8748024,-3.1400342,-0.04322624,-1.5498304,irem,korku
-499.77097,72.04328,24.126282,20.970018,3.8240104,4.632617,6.026582,15.753257,-12.534399,0.52578384,0.064904295,-3.0026627,-18.98607,1.0960758,-10.779443,-5.8385544,-3.2201676,-3.5997424,-4.934467,-1.108652,-9.34459,0.54066133,-10.120072,0.3214113,-4.9119153,-2.0235107,0.02614176,-1.4402789,4.9615064,0.77800226,3.6000135,4.0707874,4.3918543,4.7434993,3.393139,2.2172318,3.419969,0.23314159,2.5432496,-0.5830189,irem,mutlu
-464.20267,103.707596,21.441782,29.244995,6.2970786,2.5497103,3.1120014,8.45459,-17.321903,-6.960447,-5.606655,-6.917223,-12.785703,0.7069197,-14.013885,-2.230586,-4.366883,-1.9841484,-12.002978,-1.553844,-5.474183,-3.7665036,-9.781818,-3.9109752,-5.6495996,-3.1846375,-4.5919843,-3.2862551,-0.74537194,-0.14208603,-0.52283007,-0.24751022,3.4971967,1.2244059,5.8126736,4.255029,4.8063383,2.4213727,5.3075876,2.9144828,irem,mutlu
-421.15628,105.49719,17.867071,16.84524,0.39693838,5.740245,-5.6407824,1.7351267,-17.161251,-6.6676254,-2.1072176,-18.921856,-14.236392,3.5849216,-17.721142,-2.0719252,-6.305616,-5.1432843,-9.06549,-1.5974517,-3.564749,-2.3077672,-5.1652727,2.1113896,-3.8886843,-0.22009467,0.87116325,2.9778478,4.519256,5.293535,6.735131,5.55802,6.983856,3.847637,3.4458678,0.13377115,1.3929099,-0.26057062,1.2597945,0.11788699,irem,mutlu
-417.79813,109.72124,11.661134,15.945189,3.6476922,-11.386175,-7.1579466,5.286551,-16.553932,-9.216697,-5.4654346,-17.018167,-12.307585,4.2549496,-18.336697,-4.289059,-4.290098,-7.4562793,-7.950438,-1.749697,-4.3948874,-3.184597,-9.89657,-2.911738,-6.5380907,-0.103541285,0.16810054,0.13980187,4.639524,4.862492,3.3590295,5.4102635,6.5943556,5.185077,4.675364,0.4674583,1.5886271,-0.65529054,2.3981006,1.2603419,irem,mutlu
-407.3702,114.25634,7.6621604,17.533278,-1.6439596,-5.897175,-4.8187075,2.0792437,-19.609083,-9.074786,-2.9445155,-16.875923,-12.321988,2.8162072,-21.184155,-3.0714278,-5.03135,-8.527887,-11.276213,-6.43753,-5.922054,-4.9708714,-12.296884,-3.5620832,-5.302704,-2.9941595,-4.7954345,-1.262093,0.7497643,1.2842879,2.9270887,3.4672318,7.705108,6.314923,7.5123315,5.326556,5.5858297,3.539907,2.6199646,0.94353205,irem,mutlu
-380.61163,111.2588,-3.1173382,11.061206,-0.9176472,-1.3020762,-4.32314,-7.215226,-22.822195,-3.0779757,-1.0969306,-22.2036,-14.162897,1.3428304,-12.676472,-7.909168,-9.6083975,-2.1070204,-11.764201,-3.853902,-7.0979557,-8.147085,-5.25795,-4.576946,-7.035896,-1.4867984,-0.045033094,1.8438476,3.4389825,6.072935,6.0781507,5.4433203,7.5735292,6.7660494,5.951994,3.8434336,2.0874372,0.23273641,0.06739632,-1.0937506,irem,mutlu
-511.2454,99.198944,46.828167,27.769474,1.1002064,-5.707493,-6.676296,2.0219998,-8.925271,-3.9629252,2.8429723,-2.7330208,-9.893487,2.6060917,-7.935739,-7.0239606,-0.8969686,-4.5192733,-7.9868894,-2.72273,-5.65844,0.0928298,-8.847256,-2.2070203,-1.5481654,-2.786682,-2.170138,-1.6771299,0.44344166,0.33549824,-1.8774388,-0.45357725,3.0261009,-0.20042461,3.7427497,0.9793499,2.4728134,1.6530648,1.2693241,3.2762961,irem,notr
-468.87927,88.45942,28.467848,39.916435,-8.245992,-17.627623,-6.883806,2.3124595,-17.128632,-2.7908916,3.5748043,0.4042281,-12.815708,3.466582,-6.821275,-3.244531,-4.0451393,-6.344324,-7.790077,0.24142337,-7.6579394,1.7691797,-10.50449,0.9607885,-1.5878203,-3.1267283,0.2986054,4.404844,3.043273,2.4556217,2.4096434,-0.47573715,3.9456844,0.119093955,1.2873785,-0.6706469,2.735814,-0.5496302,2.4284647,-1.2454157,irem,notr
-480.04773,97.08766,33.28491,30.382624,2.3989856,-11.083297,-6.9011517,-6.3119607,-12.743638,-3.9993584,2.7824373,-3.5181983,-13.647658,3.3961263,-4.2306023,-6.740366,-8.383239,-3.183648,-6.505782,-2.5240319,-6.0060964,-0.5820225,-5.5535336,-0.19762251,-4.192207,-1.7321577,-1.113559,-0.5765905,-0.87643546,0.5668846,-0.81171983,-2.2792401,2.2697072,0.5211823,4.6270895,3.048381,5.2681313,2.8419547,4.1332994,1.6404685,irem,notr
